"id","id_toko","status","nama_pt","link_pdf_gabungan","link_pdf_non_sbo","link_pdf_rekapitulasi","logo","email_pembuat","pemberi_persetujuan_direktur","waktu_persetujuan_direktur","pemberi_persetujuan_koordinator","waktu_persetujuan_koordinator","pemberi_persetujuan_manager","waktu_persetujuan_manager","alasan_penolakan","durasi_pekerjaan","kategori_lokasi","luas_bangunan","luas_terbangun","luas_area_terbuka","luas_area_parkir","luas_area_sales","luas_gudang","grand_total","grand_total_non_sbo","grand_total_final","created_at","link_pdf_sph","waktu_penolakan","no_sph","no_polis","berlaku_polis","file_asuransi","ditolak_oleh"
821,1521,Disetujui,PT KHODAYIS MURNI,https://drive.google.com/file/d/1jSxlGvUu15qh9nDQGxa9YwXF7Y2lHM2T/view?usp=drivesdk,https://drive.google.com/file/d/1tBp5JIRsK5xiKCjTDwM9gdUv8ntR8vhh/view?usp=drivesdk,https://drive.google.com/file/d/1ofkyZ8F-JOtNkjzk6MmWU8AS9IGWu0rz/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1_C5NVW-aFbDc_xE2-bSNDP21dMFKpuU8,khodayis_murni99@yahoo.co.id,khodayis.99murni@gmail.com,2026-05-06 14:29:13.582,puput.t.setiawan@sat.co.id,2026-05-07 08:03:49.432,sutrisno.sofiah@sat.co.id,2026-05-07 09:38:44.717,,"30",NON RUKO,"234.48","264.07","59.18","70.73","115","32.73","94104032","94104032","104451000",2026-05-06 14:28:21.969,https://drive.google.com/file/d/1J7g1EsTJze13V0oxaxdieo5tw4O2Stmz/view?usp=drivesdk,,"9719","7461250108779","2026-10-16",https://drive.google.com/uc?export=download&id=1It7nGQXRmnEfLCZGgOWHGA90wpGhSvRY,
796,1496,Disetujui,CV SINAR ANUGRAH,https://drive.google.com/file/d/1jzCpFjIX0z2Jq8CEyuYVjlQBRXd5ybWx/view?usp=drivesdk,https://drive.google.com/file/d/1EFjvscmL2CL30m2Qf9UWGFyiRsg7gRmB/view?usp=drivesdk,https://drive.google.com/file/d/1rFCtTHwwj0ELz-fDBnGM5Fodhs22jezv/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1f_T2ik1jXec5BqIDEQVbQabhLCyUmM6m,cv_sinaranugrah@yahoo.com,sinaranugrah1945@gmail.com,2026-05-06 16:24:50.317,erman.wahyudi@sat.co.id,2026-05-06 16:27:30.039,farkhan.mubarok@sat.co.id,2026-05-06 16:29:17.281,,"45",NON RUKO,"294.59","335.88","82.58","81.58","131.82","60.19","33114000","33114000","36752100",2026-05-06 16:22:58.295,https://drive.google.com/file/d/13hGGgRZDHCD30P470gjLMT2fYBtH0uJP/view?usp=drivesdk,,"8749","2501261/QS-PA/PP/X/2025","2026-10-26",https://drive.google.com/uc?export=download&id=1ulKTCMUcHRybHla7ukv0TN5pWwvQNMI0,
817,1517,Disetujui,CV TANJUNG MEKARSARI,https://drive.google.com/file/d/1pczxDNnlFgxuxqeFre6fKVZMaY2USuUz/view?usp=drivesdk,https://drive.google.com/file/d/15azfVUEUotZfwES6D1mNzXUuRDmYgVCw/view?usp=drivesdk,https://drive.google.com/file/d/1naret5N9ITylnQKipt_TKJILzCa2v3Cq/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=18SZPmvc8okfe8ZMcHu4LN-WEwNN2Xvfw,firdahfhsy@gmail.com,tanjungmekarsari@gmail.com,2026-05-05 09:16:27.634,siti.rohayani@sat.co.id,2026-05-05 10:01:30.302,dian.b.sukmansyah@sat.co.id,2026-05-05 10:02:47.596,,"30",RUKO,"199.6","240.55","81.9","71","114.1","34.7","24780700","24780700","27505800",2026-05-05 08:59:23.626,https://drive.google.com/file/d/1t2Bbp3TAV2kROIsQDI6N6cHvpe8BEAX2/view?usp=drivesdk,,"7806","10.03.04.25.11.0.00076","2026-11-04",https://drive.google.com/uc?export=download&id=1nfan4kHwXXBhO9EaiXSgHQ_7qToo4qvh,
818,1518,Disetujui,CV INSAN MANDIRI,https://drive.google.com/file/d/143ptzQJninPZ8pXtE3DK1teDsRLAQU_z/view?usp=drivesdk,https://drive.google.com/file/d/1SdH__YEBVMqVgvU99KvdF7I_OQPGvic1/view?usp=drivesdk,https://drive.google.com/file/d/1Jq6ooeHc1PBYxbdszDcfHSLkh_QuOS8c/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1fdra_vGI4qGeF59w76Wx4Naa0iKiMGAY,cv.insanmandiri@gmail.com,cv.insanmandiri@gmail.com,2026-05-05 10:42:22.041,ukik.djumiyanto@sat.co.id,2026-05-05 13:08:34.060,kokok.watmoko@sat.co.id,2026-05-05 17:35:43.851,,"14",RUKO,"181.18","217.68","73","73.87","99.68","21.34","12565625","12565625","13941600",2026-05-05 09:01:13.262,https://drive.google.com/file/d/18j8FGbTEcKPfr56hKrbHn4H5K6SQmj4x/view?usp=drivesdk,,"9706","10.03.04.26.01.0.00001","2027-01-01",https://drive.google.com/uc?export=download&id=1hTJ4jqC9AF2fVPXe6a7eHnXp-5UPdtRJ,
819,1519,Disetujui,CV KULONU,https://drive.google.com/file/d/11wLWZd_VTnp53lJTHKnQRAqKczt7JVqN/view?usp=drivesdk,https://drive.google.com/file/d/1-V9i-i6XShqwQ1brSJvVu2oeUUjafKSN/view?usp=drivesdk,https://drive.google.com/file/d/1ETTMhn2AELcthFgbxUz3KR_ZFbcNJpbP/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1uwtytAbSCgqZ2UkCzcsTLURMj_eVO14z,Dansatriani28@gmail.com,kulonu@gmail.com,2026-05-05 16:28:56.021,irvan.a.piansyah@sat.co.id,2026-05-06 08:25:18.262,joko.sutrisno@sat.co.id,2026-05-06 16:01:03.487,,"30",NON RUKO,"153.4","153.4","0","114.68","114.38","32.57","132539475","132539475","147108300",2026-05-05 09:08:16.995,https://drive.google.com/file/d/1Uyofd5hw05TPZPKZtZJjd1rxZixR5rEf/view?usp=drivesdk,,"2398","376893-0002","2027-04-15",https://drive.google.com/uc?export=download&id=1t7kFALbl8MKLrCB71NGJg8uqFVAX_8GB,
820,1520,Disetujui,CV FAJAR WANGI,https://drive.google.com/file/d/1gX--922xbXNtiY3KD8_Thpoc1ORZweEv/view?usp=drivesdk,https://drive.google.com/file/d/1sDYr_s-GdBekJaP90XqvLVYOhlADN2qT/view?usp=drivesdk,https://drive.google.com/file/d/1G3NaflQndycZT1gNMqNWETC-RKQCW5ed/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1kLcDdcpgJ_Yc72cdwlUcaEKuocPTzSA6,fajarwangi2022@gmail.com,fajarwangi2008@gmail.com,2026-05-05 10:30:52.254,erman.wahyudi@sat.co.id,2026-05-05 13:36:39.376,farkhan.mubarok@sat.co.id,2026-05-06 11:10:34.517,,"45",NON RUKO,"252","326.13","148.26","148.26","121.08","48.9","30080100","30080100","33388800",2026-05-05 10:29:29.119,https://drive.google.com/file/d/137TW4JKZTMBoqtdzL-YBCFtkW-PQGKRW/view?usp=drivesdk,,"8645","10.03.04.25.11.0.00079","2008-11-05",https://drive.google.com/uc?export=download&id=13BU7Np4Jqb1kGwFPlf1G71ZMqbZ_ns4S,
822,1522,Disetujui,CV SATYA JAYA MANDIRI,https://drive.google.com/file/d/16RjSzTV2bgrvDszkJPrAG7u65flOy3fU/view?usp=drivesdk,https://drive.google.com/file/d/1H_g0fLcqd_cKIhday8gFtKH9tLRdw_0L/view?usp=drivesdk,https://drive.google.com/file/d/12WuZfptCoILFdZVfBaitpS1V3T7eVbAj/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1WgCJsrSZTzOys73Yx3mwkMltZ-O5TUZg,satyajayamandiri1@gmail.com,satyajayamandiri1@gmail.com,2026-05-05 11:35:11.793,Abdul.karim@sat.co.id,2026-05-05 11:41:25.356,hafiizh.p.pradana@sat.co.id,2026-05-05 11:59:23.506,,"40",NON RUKO,"236.25","271.88","71.25","25.25","121.36","40","456121770","456121770","506293200",2026-05-05 11:22:18.061,https://drive.google.com/file/d/1wmq72mEGkw6LSmN0sHaTAupcmr3xOrXq/view?usp=drivesdk,,"6847","10.03.04.25.11.0.00056","2026-11-01",https://drive.google.com/uc?export=download&id=1swLGnzuS_JDeEm19jRumdrNgAy1wx8aj,
1513,765,Disetujui,,,https://drive.google.com/file/d/1fM5YhTk5nI9IC0uoyE1mfmb3d8Gsp0PF/view?usp=drivesdk,https://drive.google.com/file/d/19Z4tMsiA6gHCjcuZzo5AvXUj2WFAEAmZ/view?usp=drivesdk,,charderrasanjaya@gmail.com,,,charderrabagas@gmail.com,2025-12-10 15:20:35.910,nathanael1084@gmail.com,2025-12-10 15:21:42.615,,,,"243","405","324","4242","2343","342","133854100","133854100","148573500",,,,,,,,
780,1480,Disetujui,CV SINAR ANUGRAH,https://drive.google.com/file/d/19BUd-G5fbIDONHDcaILka63vQ9d3iN0e/view?usp=drivesdk,https://drive.google.com/file/d/1_whv3B2XI-zHEtacHo0e7ZC5ObefEymp/view?usp=drivesdk,https://drive.google.com/file/d/13cjRmmg95_r3VPjqNSXaNZSPHi1mKAnh/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1JGNFls-Dn31jmsqZwW9c3Bg2Mqg-oi-J,cv_sinaranugrah@yahoo.com,sinaranugrah1945@gmail.com,2026-04-30 19:34:35.227,ukik.djumiyanto@sat.co.id,2026-04-30 22:29:02.817,kokok.watmoko@sat.co.id,2026-05-01 05:47:40.145,,"13",RUKO,"209.35","295.87","173.03","82.3","135","20.2","16438525","16438525","18237300",2026-04-30 11:15:00.711,https://drive.google.com/file/d/1UCXSIwj5yPe8W5J0doJ6rHq7J-9k_L_A/view?usp=drivesdk,,"1980","2501261/QS-PA/PP/X/2025","2026-10-26",https://drive.google.com/uc?export=download&id=1J82ML97xD1QcPZqmtjVgviM7RqxnbxxF,
828,1528,Menunggu Persetujuan Manajer,PT KREASI PRIMATAMA MANDIRI,https://drive.google.com/file/d/1Zi2O9JZnsPCd8ijPEaNJSNGVFuRBBf09/view?usp=drivesdk,https://drive.google.com/file/d/1Ne0LyTO2H7BNBhZniqE5ANIz8PdM5IpW/view?usp=drivesdk,https://drive.google.com/file/d/1_5tTVXdsVjrkWap7faIZ_wX9ywYnwYpB/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1zYG92wAo2uRGl6R5wOm0oka1g9TFoRxk,kpm.an@yahoo.co.id,kpm.an@yahoo.co.id,2026-05-06 14:37:13.600,cecep.supriyadi@sat.co.id,2026-05-07 08:10:53.727,,,,"21",RUKO,"244.19","327.62","166.86","141.99","124.68","41.54","67512297","67512297","74936100",2026-05-06 14:36:25.449,https://drive.google.com/file/d/1ssYwkz1nuqNEY9PBlS0BzwgTpNYtqI93/view?usp=drivesdk,,"4421","7461250111392","2026-11-01",https://drive.google.com/uc?export=download&id=1zgWa1QDUWe6VLWCEzJGCcNMJU1ZOrDWf,
823,1523,Disetujui,CV SATYA JAYA MANDIRI,https://drive.google.com/file/d/1r1OXlf9pKeIGhW5oeCUn1yVZmdLVGZaj/view?usp=drivesdk,https://drive.google.com/file/d/1FYc1lCeSrdmLKTjVWDsMcEV4K9jF9ptJ/view?usp=drivesdk,https://drive.google.com/file/d/15yYgZ6wXLPq-2qckSaeqG0Y0pfvmwB4_/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1I6UEFRXDI08CVLQT8VZlqfFmC6LgeWJE,satyajayamandiri1@gmail.com,satyajayamandiri1@gmail.com,2026-05-05 11:58:59.261,Abdul.karim@sat.co.id,2026-05-05 12:09:16.791,hafiizh.p.pradana@sat.co.id,2026-05-05 14:17:05.148,,"40",NON RUKO,"236.25","271.88","71.25","25.25","121.36","40","25735850","25735850","28560300",2026-05-05 11:56:28.258,https://drive.google.com/file/d/1nezSEh6vUKBVGqSNH2Hwsix1J-Brmn0L/view?usp=drivesdk,,"9157","10.03.04.25.11.0.00056","2026-11-01",https://drive.google.com/uc?export=download&id=1V89eQDQ3mJPDIWiKtOOdlW8yyn16xjxx,
825,1525,Disetujui,CV TOTIDIO,https://drive.google.com/file/d/1e4zaFsUGFtVpPfDXzyfZy0j0W6i_MLyy/view?usp=drivesdk,https://drive.google.com/file/d/10EhAiLhMEAR0WwjprgXPQ96ELbZ7H28B/view?usp=drivesdk,https://drive.google.com/file/d/1ueieyRqcFX2qXdPa8miZF3BwND5hxHP1/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1tRmNEScThNxshdhvLIwYLtcqGFG6OyA0,estimator.totidio@gmail.com,totidio.cons@gmail.com,2026-05-05 13:55:21.022,asep.k.kuntalasari@sat.co.id,2026-05-06 09:14:39.551,Septian.saptaringga@sat.co.id,2026-05-06 09:26:40.006,,"38",NON RUKO,"227.68","242.84","30.32","30.32","112.05","54.73","23782800","23782800","26395800",2026-05-05 13:52:29.784,https://drive.google.com/file/d/1v0Foxz9qmplqGYlRBaWSSnabSGnlp_l4/view?usp=drivesdk,,"7138","378495-6","2027-05-01",https://drive.google.com/uc?export=download&id=13M0yIiSDGZsaOqQFrQtyUi6qs9kVtHjl,
826,1526,Disetujui,PT MAJU MAKMUR ARTA BANGUN SENTOSA,https://drive.google.com/file/d/1O0cKdyODBd5BdrO7MtK5FEnPZWrhrKBu/view?usp=drivesdk,https://drive.google.com/file/d/1yTCwx6hgxTVJczrlHv9HCYXr4RSqhXlO/view?usp=drivesdk,https://drive.google.com/file/d/1yic3xxX9fIf30SkxkWXXdp5woePGwLdk/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1NpxMXDhRQsUJqGFIOgLJnSHhS3JyR5vS,majumakmurartabangunsentosa@gmail.com,majumakmurartabangunsentosa@gmail.com,2026-05-05 15:36:05.467,joni.iskandar@sat.co.id,2026-05-06 11:13:26.445,agus.erwanto@sat.co.id,2026-05-06 11:40:22.928,,"14",RUKO,"436.16","502.9","133.47","103","109.25","38.07","129109414","129109414","143301000",2026-05-05 14:13:15.552,https://drive.google.com/file/d/17euBxYIBL9oECbkwtxiWR8b7J1sTch-u/view?usp=drivesdk,,"7001","10.03.04.25.11.0.00069","2026-11-04",https://drive.google.com/uc?export=download&id=1uif4df1czHHfdkQ3ns-Pb6XgJknmHEOi,
827,1527,Disetujui,PT MAJU MAKMUR ARTA BANGUN SENTOSA,https://drive.google.com/file/d/1orwmDGvETDOp6YtgxSr5SBlzjRABiTQD/view?usp=drivesdk,https://drive.google.com/file/d/1FNWiaW3n76uc3wA-Gq2txpPXiHrZsCQJ/view?usp=drivesdk,https://drive.google.com/file/d/1R0mb6XZ_YqQ8fqs92M1ziJSe6gHdAc6_/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1BIEON-x0zPkMMLJw3NxiORFEY-3Uptj1,majumakmurartabangunsentosa@gmail.com,majumakmurartabangunsentosa@gmail.com,2026-05-05 15:35:45.689,joni.iskandar@sat.co.id,2026-05-06 11:13:25.174,agus.erwanto@sat.co.id,2026-05-06 11:39:26.128,,"14",RUKO,"277.27","340.12","125.7","59.89","94.3","44.09","72926708","72926708","80941200",2026-05-05 14:38:09.080,https://drive.google.com/file/d/1aukGVq9VWecxh0MxtBOTS8F8co0UA6Xe/view?usp=drivesdk,,"8661","10.03.04.25.11.0.00069","2026-11-04",https://drive.google.com/uc?export=download&id=1mwe39xSSK-SIhNySVHp_GGrnYQaYk2-_,
830,1530,Disetujui,CV NAGA BARU,https://drive.google.com/file/d/1cOKSX7h2l17jRDewlFFBp4aSjo9r2pJO/view?usp=drivesdk,https://drive.google.com/file/d/1SCLDF8LhqOqsVFZd4EtpJn2LBC8wTUjk/view?usp=drivesdk,https://drive.google.com/file/d/12qnFY5b99QL6YN00Z6oVwo3CwZp1HOrr/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1jUMTIG6jh9fsEe-n9rRhFYEtkP_nkSUU,nagabaru2006@gmail.com,nagabaru2006@gmail.com,2026-05-05 16:24:07.348,ahmad.s.saputra@sat.co.id,2026-05-06 13:42:55.598,chirwan.juliansyah@sat.co.id,2026-05-06 15:20:41.679,,"30",RUKO,"190.1","371.91","363.62","340.68","105.41","48.32","475200606","475200606","527472000",2026-05-05 15:45:13.203,https://drive.google.com/file/d/1M-meFp-NAKZO7lhBqmWNvBYDAeCi1nrf/view?usp=drivesdk,,"4108","10.03.04.25.11.0.00078","2026-11-04",https://drive.google.com/uc?export=download&id=11G5_Rqhr2zTP6iKXfPfZ7PoBUZoHPD7j,
831,1531,Disetujui,CV NAGA BARU,https://drive.google.com/file/d/1y0EltC-VsUx7HSswhYKL07df3OShkBSu/view?usp=drivesdk,https://drive.google.com/file/d/1Htj3xYUA3Ror-yvAIN56xf0ouj0aW7At/view?usp=drivesdk,https://drive.google.com/file/d/1qZ8PdcdYIwKTCyIDXLDLV4vH8dvAbf_6/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1-N6PpQlr0aPhAxIHKNI1lAjDvPszuqct,nagabaru2006@gmail.com,nagabaru2006@gmail.com,2026-05-05 16:23:39.247,ahmad.s.saputra@sat.co.id,2026-05-06 13:44:42.155,chirwan.juliansyah@sat.co.id,2026-05-06 15:19:47.240,,"30",RUKO,"190.1","371.91","363.62","339.68","105.41","48.32","28173600","28173600","31268700",2026-05-05 16:01:40.372,https://drive.google.com/file/d/1lk74aEK2BMPP5hdMOMG01438RkAcRi8P/view?usp=drivesdk,,"6899","10.03.04.25.11.0.00078","2026-11-04",https://drive.google.com/uc?export=download&id=17DUjwJMljW2BG7oOc_6tLKpRaMDVxuRB,
832,1532,Disetujui,CV FAJAR WANGI,https://drive.google.com/file/d/1cr2rh-dOth1bOt4Q-dhtGxGdvMeOnVg5/view?usp=drivesdk,https://drive.google.com/file/d/1hjyQ7fMdHG6e6rtYQ0D_4tb-eKmPz9xq/view?usp=drivesdk,https://drive.google.com/file/d/19dtKlkq1-1Z0BGHaSoYpefT0JeKa7sNn/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1oZzas6bvfzx99q2DHMreyWMQOJ1u1pVN,fajarwangi2022@gmail.com,fajarwangi2008@gmail.com,2026-05-05 16:15:42.015,erman.wahyudi@sat.co.id,2026-05-06 10:31:40.611,farkhan.mubarok@sat.co.id,2026-05-06 11:15:34.620,,"45",NON RUKO,"237.15","291.88","109.47","109.47","123.2","46.32","30629100","30629100","33988200",2026-05-05 16:14:30.759,https://drive.google.com/file/d/1WMci2xzI7rjgxkhu0yybN10Gltv4JfTP/view?usp=drivesdk,,"2063","10.03.04.25.11.0.00079","2008-11-05",https://drive.google.com/uc?export=download&id=1liwZ0FsqEjrZyhS3dnlIR5nSA-fRekh9,
834,1534,Disetujui,CV FAJAR WANGI,https://drive.google.com/file/d/1ZZT9XzZmY1D6aQJVZ4HJZ1lY3-2acM9W/view?usp=drivesdk,https://drive.google.com/file/d/1b3fKrPIR1CSk2lL2qnnpUx3qS9EgUdpO/view?usp=drivesdk,https://drive.google.com/file/d/1P6H8M6uzdy8JTQW6C93IRZoox3QInyZb/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1Witmxf6XQ3AATJcBaEogzI0nfWiDAzJX,fajarwangi2022@gmail.com,fajarwangi2008@gmail.com,2026-05-06 09:53:10.902,erman.wahyudi@sat.co.id,2026-05-06 10:32:19.467,farkhan.mubarok@sat.co.id,2026-05-06 11:14:43.640,,"45",NON RUKO,"243","306.55","127.1","127.1","127.99","47.27","585509474","585509474","649905000",2026-05-06 09:33:27.132,https://drive.google.com/file/d/1gc9Y1-oo18H6BpK9NvXnCBVtUbgDC2jQ/view?usp=drivesdk,,"8403","10.03.04.25.11.0.00079","2008-11-05",https://drive.google.com/uc?export=download&id=1ajelWvQp6X-kIJUhOaYecD3uazrO2VDA,
838,1538,Menunggu Persetujuan Direktur,PT KANIGORO KARYA KONSTRUKSI,https://drive.google.com/file/d/1emx1F9OUXOiQ9b8f4ciyPWF_sJXhhHnw/view?usp=drivesdk,https://drive.google.com/file/d/1TEbEfVQvWZURLM5yyiX1lhj8yrt2wA8p/view?usp=drivesdk,https://drive.google.com/file/d/1hxOPVZ8S3PXwARBv2BhfVBSHgDwgKqlY/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1_-bjc_9g4LML6_EwQsY7TggCA5lBKyrh,baraboro.rubi@gmail.com,,,,,,,,"15",NON RUKO,"49.7","49.7","0","0","31.61","9.34","15343750","15343750","17027400",2026-05-06 10:07:36.458,,,"4779","10.03.04.25.11.0.00075","2026-11-04",https://drive.google.com/uc?export=download&id=1zi-OYznbm6D2ZdZJoLsoyg-hnTnZdvyF,
829,1529,Menunggu Persetujuan Manajer,PT KREASI PRIMATAMA MANDIRI,https://drive.google.com/file/d/14ZzpYqzvj0d36WPJ_KDDLjFto2Lt95pE/view?usp=drivesdk,https://drive.google.com/file/d/1U1M3bt8SRaKm6c9K4sjPqGmeMaxwSpB1/view?usp=drivesdk,https://drive.google.com/file/d/1sGNBIffI8PvOi2uzWpV-OPyE1P9I4Fly/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1difFGYiQFygLnVu-eqqQWER5BYrpd-G9,kpm.an@yahoo.co.id,kpm.an@yahoo.co.id,2026-05-06 14:28:00.804,cecep.supriyadi@sat.co.id,2026-05-07 08:11:48.300,,,,"21",RUKO,"244.19","327.62","166.86","141.99","124.68","41.54","22321600","22321600","24775200",2026-05-06 14:26:19.578,https://drive.google.com/file/d/1BbSIKowrEeICukgxkGQ2GYP45ccuU6HY/view?usp=drivesdk,,"9817","7461250111392","2026-11-01",https://drive.google.com/uc?export=download&id=13cKHHDr88JgN3wDfZ8fUQCsUM1cdYx_M,
833,1533,Menunggu Persetujuan Manajer,PT MITRA GIRI AGUNG,https://drive.google.com/file/d/1qhaDjNbb0tBOgbBcKbCH1hEkfAgXnDpe/view?usp=drivesdk,https://drive.google.com/file/d/1L86axnd1da89x0cRE3gqHyefFswOZF20/view?usp=drivesdk,https://drive.google.com/file/d/1Ci4-hr1sOUyjqMYpSIjBSeWrlkV9vfBG/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1CHH7Gt88Q7ui8va-YqVBl2_FWsyaytdG,mitragiriagung5758@gmail.com,mitragiriagung5758@gmail.com,2026-05-06 12:38:35.410,lukman.suprayitno@sat.co.id,2026-05-07 09:04:31.191,,,,"25",RUKO,"205.81","205.81","0","90.74","95.55","26.65","231663980","231663980","257142600",2026-05-05 16:25:58.226,https://drive.google.com/file/d/1259IcygwO4HgfUgzqxwri7S1mYrYefK7/view?usp=drivesdk,,"3234","10.03.04.25.11.0.00077","2026-11-04",https://drive.google.com/uc?export=download&id=1UZpId3R_AxS6icxag9pZ3-yz0AZIwZkp,
837,1537,Disetujui,PT HANIF TUNGGAL MANDIRI,https://drive.google.com/file/d/1Dq6eoMul7C_RLrisY5b81Us-tiVecon-/view?usp=drivesdk,https://drive.google.com/file/d/1-ffyqrT89Sv1CdzTK8vgZqh4h2OEbno7/view?usp=drivesdk,https://drive.google.com/file/d/1Pyp9ThA7ZhrrWMn6gqQws71td8hPsXIa/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1IOyF4j-4eyRWb4lR8CXP1j0SYYFM0uq-,pthaniftmbdg@gmail.com,pthaniftmbdg@gmail.com,2026-05-06 08:02:51.555,yurry.rayendra@sat.co.id,2026-05-07 15:01:24.266,yadi.k.syamsudin@sat.co.id,2026-05-07 15:10:21.434,,"40",RUKO,"276.72","344.64","135.83","136.37","124.39","57.44","26176500","26176500","29048700",2026-05-06 08:01:36.274,https://drive.google.com/file/d/10z3ywdk6dB2Uuu7KfAS3QM4vOktaRptX/view?usp=drivesdk,,"7093","10.03.04.25.11.00.00066","2026-11-04",https://drive.google.com/uc?export=download&id=1Wp3eVIZVNdvwzaNk4FCmyDSntx-acnoa,
836,1536,Menunggu Persetujuan Manajer,CV CAHAYA FIRATAMA,https://drive.google.com/file/d/1my5P-P-PNmFnYo3lWpfh2KEiz3Kp8pv2/view?usp=drivesdk,https://drive.google.com/file/d/1Y6ywXP-ARnfwuP4ZLn6vRWW3RSytYydG/view?usp=drivesdk,https://drive.google.com/file/d/1kmor3jBZ6B8hsqHwNhWYYQjYba3SKGEo/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1GOakYYjl07oHdpZBlC2y5z2t0oSwN_GC,cahayafiratama29@gmail.com,maryammahmudbunti29@gmail.com,2026-05-08 10:22:47.368,iwayan.m.weda@sat.co.id,2026-05-08 13:26:30.661,,,,"40",NON RUKO,"246","373.23","254.46","235.67","120.61","41.65","792660794","792660794","879852600",2026-05-08 10:19:29.738,https://drive.google.com/file/d/1Gn2QsydbK_Bsm76ETZPn1oggRz7Bz99n/view?usp=drivesdk,,"4066","10.03.04.25.11.0.0050","2025-01-11",https://drive.google.com/uc?export=download&id=1AGjkBWYnTIj9-WzzqcLG8ELKfQMV0QEh,
839,1539,Menunggu Persetujuan Direktur,PT KANIGORO KARYA KONSTRUKSI,https://drive.google.com/file/d/1LsDvlu7K7ja-49ueVjP8jDopnZ7QZPNn/view?usp=drivesdk,https://drive.google.com/file/d/15ceofrpuzMIvRqyJY7N_j1YWDpgYzxnJ/view?usp=drivesdk,https://drive.google.com/file/d/1nvpJiXSD2tCrwIDFzDCLMj635KMITKLZ/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1hEtTXb8UNAWYq1dFWp7RpaKnU6iY3AjW,baraboro.rubi@gmail.com,,,,,,,,"15",NON RUKO,"49.7","49.7","0","0","31.61","9.34","2928660","2928660","3241200",2026-05-06 10:18:04.556,,,"6393","10.03.04.25.11.0.00075","2026-11-04",https://drive.google.com/uc?export=download&id=1_lY7i5U3SwRRWN3AqXMIAczTLOd_onSh,
841,1541,Menunggu Persetujuan Direktur,CV KING KONSTRUKSI UTAMA,https://drive.google.com/file/d/175Nz-tYyUsCm14khhWbkLTIA8emGo0Az/view?usp=drivesdk,https://drive.google.com/file/d/125jHpJebZ25Ca94bPdYQYExoZm-Z3xI2/view?usp=drivesdk,https://drive.google.com/file/d/1jz7x3WqWvuNT_rv7r58Ue6uMI-yDeULX/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1vYV_MP73-zDQxZ69u320dDgbYco1Vwkf,cv.kingkonstruksiutama2015@gmail.com,,,,,,,,"35",RUKO,"270.91","350.49","159.16","109.89","122.44","78.78","357691150","357691150","397035900",2026-05-06 17:02:40.564,,,"1493","378495-5","2027-04-30",https://drive.google.com/uc?export=download&id=1D2Yl4Pqc7r4tbhu8JDFR0iHhVnWt8ZJw,
843,1543,Menunggu Persetujuan Direktur,CV BINTANG CEMERLANG,https://drive.google.com/file/d/1p01_9Hp4Mq1EQqNdTfu92-QNp17oqnp8/view?usp=drivesdk,https://drive.google.com/file/d/1241adUkdewmzLu3VNXT_xP2vEQRxB25j/view?usp=drivesdk,https://drive.google.com/file/d/1hJRQyuAlZ7EB_Afe1OZRxUdEg7EnNkkO/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1o9s6lbR7ekSqx1gNuSxL1UgjVauRB9de,bintangnacemerlangeuy@gmail.com,,,,,,,,"30",NON RUKO,"312","425.81","227.62","227.62","146.28","65.29","30333300","30333300","33666300",2026-05-06 12:12:45.127,,,"9461","7461250108121","2026-11-01",https://drive.google.com/uc?export=download&id=1laFM3DtkgcQJ6j682r-HpXnA0j6H3kXr,
